,0,1,2,3,4,5,6,7,8,9,10
3882,University of Hawaii - Manoa (UH),English,"$19,200",0.63,2016-2017,1st,,"$19,200",,,
3883,Georgia State University (GSU),English,"$15,000",0.64,2016-2017,1st,,"$15,000",,,
3884,University of Georgia (UGA),English,"$16,700",0.79,2016-2017,1st,,"$16,700",,,
3885,Emory University,English,"$24,000",1.03,2016-2017,1st,,"$24,000",,,
3886,University of South Florida (UCF),English,"$15,000",0.68,2016-2017,1st,,"$15,000",,,
3887,University of Miami (UM),English,"$22,000",0.92,2016-2017,1st,,"$22,000",,,
3888,Florida State University (FSU),English,"$22,000",0.94,2016-2017,1st,,"$22,000",,,
3889,University of Florida (UF),English,"$17,400",0.77,2016-2017,1st,,"$17,400",,,
3890,University of Delaware (UD),English,"$24,000",0.95,2016-2017,1st,,"$24,000",,,
3891,Washington University in St. Louis (Wash U),English,"$25,860",1.25,2016-2017,1st,,"$25,860",,,
3892,Washington University in St. Louis (Wash U),English,"$23,360",1.13,2016-2017,1st,,"$23,360",,,
3893,University of Delaware (UD),English,"$20,000",0.79,2016-2017,1st,,"$20,000",,,
3894,University of Delaware (UD),English,"$20,000",0.79,2016-2017,1st,,"$20,000",,,
3895,Howard University (HU),English,"$17,000",0.55,2016-2017,1st,,"$17,000",,,
3896,George Washington University (GW),English,"$23,000",0.75,2016-2017,1st,,"$23,000",,,
3897,The Catholic University of America,English,"$18,000",0.58,2016-2017,1st,,"$18,000",,,
3898,Yale University (YU),English,"$30,225",1.22,2016-2017,1st,,"$30,225",,,
3899,University of Connecticut (UConn),English,"$24,107",0.99,2016-2017,1st,,"$24,107",,,
3900,University of Denver (DU),English,"$17,500",0.78,2016-2017,1st,,"$17,500",,,
3901,University of Colorado - Boulder (UCB),English,"$22,000",0.86,2016-2017,1st,,"$22,000",,,
3902,University of California - Santa Barbara (UCSB),English,"$20,000",0.76,2016-2017,1st,,"$20,000",,,
3903,University of California - Riverside (UCR),English,"$20,000",0.83,2016-2017,1st,,"$20,000",,,
3904,University of California - Davis (UCD),English,"$20,000",0.83,2016-2017,1st,,"$20,000",,,
3905,University of California - Berkeley,English,"$30,000",1.08,2016-2017,1st,,"$30,000",,,
3906,University of California - Berkeley,English,"$32,000",1.15,2016-2017,1st,,"$32,000",,,
3907,University of California - Los Angeles (UCLA),English,"$24,000",0.93,2016-2017,1st,,"$24,000",,,
3908,UCLa,English,"$24,000",,2016-2017,1st,Corrected amount.,"$24,000",,,
3909,University of Southern California (USC),English,"$30,000",1.16,2016-2017,1st,Corrected amount.,"$30,000",,,
3910,University of Southern California (USC),English,"$20,000",0.77,2016-2017,1st,,"$20,000",,,
3911,Claremont Graduate University (CGU),English,"$20,000",0.77,2016-2017,1st,,"$20,000",,,
3912,Claremont Graduate University (CGU),,"$20,000",0.77,2016-2017,1st,,"$20,000",,,
3913,University of Arkansas - Fayetteville,,"$23,333",1.17,2016-2017,1st,,"$23,333",,,
3914,University of Arkansas - Fayetteville,,"$12,000",0.60,2016-2017,1st,,"$12,000",,,
3915,Arizona State University (ASU),,"$17,000",0.77,2016-2017,1st,,"$17,000",,,
3916,University of Arizona (U of A),,"$16,500",0.80,2016-2017,1st,,"$16,500",,,
3917,Auburn University (AU),,"$14,000",0.65,2016-2017,1st,,"$14,000",,,
3918,University of Alabama (UA),,"$19,000",0.90,2016-2017,1st,,"$19,000",,,
3919,University of Alabama (UA),,"$13,500",0.64,2016-2017,1st,,"$13,500",,,
3920,University of Alberta,Mathematical and Statistical Sciences,"$19,000",,2016-2017,1st,,,"$18,000","$9,000","$8,000"
3921,University of Cincinnati (UC),Material Science,"$11,685",0.61,2017-2018,2nd,,,"$14,400","$1,500","$4,215"
3922,University of California - San Diego (UCSD),Mathematics,"$20,000",0.76,2017-2018,2nd,,,"$20,000",,
3923,Georgetown University,Interdisciplinary Program in Neuroscience,"$30,000",0.97,2017-2018,,,"$30,000",,,
3924,Tufts University (TU),Biology,"$31,507",1.13,2016-2017,4th,Paid 12 month salary but summer pay comes in two lump sums.,"$31,507",,,
3925,Tufts University (TU),Physics,"$29,500",1.06,2016-2017,2nd,,"$29,500",,,
3926,Stony Brook University - SUNY,computer science,"$33,560",1.20,2017-2018,1st,,,"$23,560","$10,000",
3927,Louisiana State University - Baton Rouge,Biological Sciences,"$30,000",1.38,2017-2018,1st,Board of Regents Fellowship,"$30,000",,,
3928,University of Miami (UM),Mechanical Engineering,"$27,000",1.13,2016-2017,1st,,"$27,000",,,
3929,University of California - Berkeley,Sociology,"$30,000",1.08,2017-2018,1st,,,"$28,000","$2,000",
3930,North Carolina State University (NCSU),microbiology,"$15,500",0.68,2016-2017,3rd,,,"$18,000",,"$2,500"
3931,Yale University (YU),Economics,"$39,000",1.58,2017-2018,1st,,"$39,000",,,
3932,Dartmouth College,MCB,"$29,500",1.19,2017-2018,1st,,"$29,500",,,
3933,University of Wisconsin - Madison (UW),Medical Physics,"$23,675",1.04,2017-2018,1st,,"$24,000",,,$325
3934,Massachusetts Institute of Technology (MIT),Urban Studies &amp; Planning,"$37,680",1.35,2017-2018,1st,,"$37,680",,,
3935,University of North Carolina - Chapel Hill (UNC),City &amp; Regional Planning,"$24,000",1.08,2016-2017,1st,,"$24,000",,,
3936,University of Illinois - Urbana- Champaign (UIUC),Electrical and Computer Engineering ,"$24,000",1.09,2016-2017,4th,Paid over 11 months ,"$24,000",,,
3937,University of Illinois - Urbana- Champaign (UIUC),Mechanical Engineering,"$28,000",1.27,2017-2018,1st,,"$28,000",,,
3938,University of California - Los Angeles (UCLA),Science and letters,"$-10,000",-0.39,2016-2017,1st,,"$10,000",,,"$20,000"
3939,University of California - San Diego (UCSD),bioenginnering,"$37,551",1.42,2016-2017,3rd,,"$37,551",,,
3940,University of Arkansas for Medical Sciences,PEP,"$24,000",1.15,2016-2017,3rd,University stipend does not include health insurance nor gym/recreation services,"$24,000",,,
3941,University of Connecticut (UConn),History,"$17,012",0.70,2017-2018,1st,,,"$17,812",,$800
3942,University of Arkansas for Medical Sciences,Pharmaceutical sciences,"$24,000",1.15,2017-2018,4th,,"$24,000",,,
3943,University of Arkansas for Medical Sciences,Pharmacy Practice/Pharmaceutical Sciences,"$24,000",1.15,2017-2018,3rd,,"$24,000",,,
3944,New York University (NYU),Biology,"$38,000",1.28,2016-2017,4th,,"$38,000",,,
3945,Cornell University (CU),Physics,"$33,623",1.39,2017-2018,1st,,,"$28,817","$4,806",
3946,Yale University (YU),Physics,"$34,550",1.40,2017-2018,1st,,"$34,550",,,
3947,University of Oregon (UO),Biology,"$25,820",1.23,2017-2018,1st,,"$26,000",,,$180
3948,University of Rochester (UR),School of education ,"$4,500",0.21,2017-2018,1st,,"$4,500",,,
3949,Virginia Tech,Chemistry ,"$21,974",1.04,2017-2018,2nd,,"$23,774",,,"$1,800"
3950,Iowa State University (ISU),Kinesiology,"$24,056",1.13,2017-2018,1st,,,"$24,656",,$600
3951,University of California - Berkeley,Haas - Management,"$38,000",1.37,2017-2018,1st,,"$38,000",,,
3952,University of Michigan - Ann Arbor (UM),Ross - Strategy,"$30,000",1.30,2017-2018,1st,,"$30,000",,,
3953,Northern Arizona University (NAU),Informatics and Computing ,"$19,200",0.82,2016-2017,1st,,"$20,000",,,$800
3954,Max Planck Institute for Human Cognitive &amp; Brain Sciences,,"$21,944",,2017-2018,1st,There&#39;s bonus payments in addition to the monthly salary at least once a year.,"$21,944",,,
3955,Baylor University (BU),Sociology,"$20,398",1.03,2017-2018,,,"$23,500",,,"$3,102"
3956,,,"$21,752",,2016-2017,,,,"$18,432","$5,000","$1,680"
3957,West Virginia University (WVU),Biomedical Engineering,"$30,960",1.39,2016-2017,1st,,"$30,960",,,
3958,,Microbiology,"$16,000",,2016-2017,,,"$21,000",,,"$5,000"
3959,,,"$16,000",,2016-2017,,,"$21,000",,,"$5,000"
3960,University of Hawaii - Manoa (UH),Psychology,"$21,278",0.70,2016-2017,4th,18226 after taxes,"$22,178",,,$900
3961,Northwestern University (NU),Psychology,"$29,550",1.22,2016-2017,3rd,"Sometimes taxed, sometimes not.","$29,880",,,$330
3962,Iowa State University (ISU),Animal Science,"$25,200",1.19,2017-2018,1st,100% tuition payment ,"$25,200",,,
3963,University of Pittsburgh,Psychology,"$2,170",0.10,2017-2018,2nd,"Health insurance is included. We only pay vision and dental insurance  ~$30 per month 

Every <span class=""truncated""> semester we pay $30 required fees</span>","$2,200",,,$30
3964,University of Tennessee - Knoxville,Microbiology,"$18,000",0.85,2017-2018,1st,,"$20,000",,,"$2,000"
3965,university of melbourne,department of health sciences ,"$23,900",,2017-2018,1st,,"$23,900",,,
3966,Carleton University ,Earth sciences,"$18,000",,2016-2017,3rd,,"$18,000",,,
3967,Arizona State University (ASU),Computer Science,"$29,200",1.32,2017-2018,2nd,,,"$20,000","$13,200","$4,000"
3968,University of Wisconsin - Madison (UW),Pharmacology,"$27,000",1.18,2017-2018,1st,,"$28,000",,,"$1,000"
3969,Ohio State University (OSU),CSE,"$22,080",1.10,2017-2018,4th,,"$23,880",,,"$1,800"
3970,Johns Hopkins University (JHU),Neuroscience,"$32,000",1.24,2017-2018,1st,,"$32,000",,,
3971,University of Texas - Dallas (UTD),Cognition and Neuroscience ,"$23,333",1.08,2017-2018,2nd,,"$23,333",,,
3972,Tufts University (TU),biology,"$31,500",1.13,2016-2017,1st,,"$32,000",,,$500
3973,Rockefeller University,David Rockefeller Graduate Program,"$39,400",1.32,2017-2018,6th and up,,"$39,400",,,
3974,University of Kentucky (UK),Geography,"$13,828",0.68,2016-2017,5th,,,"$15,176",,"$1,348"
3975,University of Minnesota - Twin Cities (UM),Experimental and Clinical pharmacology,"$49,000",2.14,2016-2017,3rd,,"$49,000",,,
3976,,,"$19,305",,2016-2017,,,,"$20,100",,$795
3977,University of Kentucky (UK),Toxicology &amp; Cancer Biology,"$24,500",1.20,2017-2018,3rd,,"$24,500",,,
3978,University of North Texas (UNT),Biology,"$2,000",0.09,2016-2017,4th,"$700 per month for insurance- single, no family ","$2,000",,,
3979,Michigan State University (MSU),Forestry,"$26,000",1.27,2017-2018,1st,,"$26,000",,,
3980,University of Saskatchewan ,Animal and poultry science ,"$19,500",,2017-2018,3rd,,"$24,000",,,"$4,500"
3981,Duke University (DU),UPGG,"$28,000",1.26,2015-2016,4th,,"$28,000",,,
3982,University of North Carolina - Charlotte (UNCC),Civil and Environmental Engineering,"$14,500",0.63,2017-2018,2nd,,"$20,000",,,"$5,500"
3983,University of California - Irvine (UCI),English ,"$21,000",0.72,2017-2018,1st,,,"$21,000",,
3984,Ohio State University (OSU),English ,"$17,000",0.85,2017-2018,1st,,,"$17,000",,
3985,University of California - Davis (UCD),Sociology ,"$23,850",0.99,2017-2018,1st,,,"$20,000","$4,000",$150
3986,Georgia Institute of Technology (Georgia Tech),Electrical and Computer Engineering,"$23,536",1.01,2017-2018,4th,,"$27,000",,,"$3,464"
3987,University of Maryland - Baltimore (UMB),School of medicine,"$28,000",1.09,2016-2017,1st,,"$28,000",,,
3988,Rice University,Sociology ,"$26,109",1.19,2017-2018,1st,,"$27,500",,,"$1,391"
3989,University of Saskatchewan,Community Health and Epidemiology,"$1,400",,2016-2017,4th,,"$1,600",,,$200
